年度期別,縣市別,社區大學名稱,據點名稱,據點地址
110年春季班 ( 含寒假班 ),臺北市,臺北市松山社區大學,臺北市中崙高級中學,臺北市松山區八德路4段101號
110年春季班 ( 含寒假班 ),臺北市,臺北市南港社區大學,成德校本部,臺北市南港區東新街108巷23號
110年春季班 ( 含寒假班 ),臺北市,臺北市南港社區大學,港工校區,臺北市南港區興中路29號
110年春季班 ( 含寒假班 ),臺北市,臺北市南港社區大學,南軟教學點,臺北市南港區三重路19-10號
110年春季班 ( 含寒假班 ),臺北市,臺北市文山社區大學,景美校本部,臺北市文山區景中街27號
110年春季班 ( 含寒假班 ),臺北市,臺北市文山社區大學,木柵校區,台北市文山區木柵路三段102巷12號
110年春季班 ( 含寒假班 ),臺北市,臺北市北投社區大學,校本部,台北市北投區中山路5-12號
110年春季班 ( 含寒假班 ),臺北市,臺北市萬華社區大學,龍山國中校本部,臺北市萬華區南寧路46號
110年春季班 ( 含寒假班 ),臺北市,臺北市萬華社區大學,萬華國中分校區,臺北市萬華區西藏路201號
110年春季班 ( 含寒假班 ),臺北市,臺北市信義社區大學,校本部,臺北市信義區松仁路158巷1號
110年春季班 ( 含寒假班 ),臺北市,臺北市內湖社區大學,校本部,台北市內湖路一段520號
110年春季班 ( 含寒假班 ),臺北市,臺北市內湖社區大學,臺北市網球中心,台北市內湖區民權東路六段208號
110年春季班 ( 含寒假班 ),臺北市,臺北市內湖社區大學,白石湖社區發展協會,台北內湖區碧山路56號
110年春季班 ( 含寒假班 ),臺北市,臺北市大同社區大學,校本部,臺北市大同區長安西路37-1號
110年春季班 ( 含寒假班 ),臺北市,臺北市士林社區大學,校本部,台北市士林區承德路四段177號
110年春季班 ( 含寒假班 ),臺北市,臺北市大安社區大學,金甌總校區,臺北市大安區杭州南路二段1號
110年春季班 ( 含寒假班 ),臺北市,臺北市大安社區大學,開平教學點,臺北市大安區復興南路二段148巷24號
110年春季班 ( 含寒假班 ),臺北市,臺北市大安社區大學,東方教學點,臺北市大安區信義路四段186巷8號
110年春季班 ( 含寒假班 ),臺北市,臺北市中正社區大學,校本部,臺北市中正區濟南路一段6號 
