年度期別,縣市別,社區大學名稱,據點名稱,據點地址
110年春季班 ( 含寒假班 ),臺北市,臺北市中山社區大學,校本部,臺北市中山區新生北路三段55號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,武崙校本部,基隆市安樂區基金二路3巷1號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,月眉校本部,基隆市月眉路250巷22號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,仁愛國小城區分部,基隆市
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,德和里民活動中心,基隆市復興路206號1樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,劉品麗花藝教室,基隆市中山一路121號9樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,實踐里民活動中心,基隆市百一街52-1號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,長興國小,基 龍是東新街3號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,七堵國小,基隆市明德一路184號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,黃蠟石文化館,基隆市過港路52號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,暖暖苗圃舊址,基隆市水源路42-1號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,碇祥里民活動中心,基隆市碇內街100號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,劉鳳珠黏土工作室,基隆市安樂路二段樓號之五樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,永康關懷據點,基隆市崇德路12巷2之4號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,三民里民活動中心,基隆市麥金路439巷2號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,五福里民活動中心,基隆市樂利三街34巷52號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,鶯歌里民活動中心,基隆市案樂區二段164號9樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,橘郡社區休閒館會議室,基隆市麥金路177號4樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,中崙里民活動中心,基隆市基金二路3巷3號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,明日之星市民小劇場,基隆市義一路18號12樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,李麗雲藝術工作室,基隆市中正路34號4樓407室
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,港通里民活動中心,基隆市義一路87號7樓之1
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,藝術學成工作坊,基隆市義二路49號3樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,八斗國小,基隆市北寧路396巷52號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,荷塘樂坊,基隆市信一路141巷25號6樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,姚姚舞蹈教室,基隆市義三路4巷12號5樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,義昭里民活動中心,基隆市信二路157號1樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,深美國小,基隆市深美街198號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,朝棟里民活動中心,基隆市成功一路133巷5號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,明德里民活動中心,基隆市自來街13巷5之2號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,和明里民活動中心,基隆市仁二路137巷2弄1之3號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,玄玄宮九天道場,基隆市愛三路118號12樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,樂筑古箏學院,基隆市忠二路29號樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,舞度空間,基隆市愛一路34號5樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,國民運動中心,基隆市獅球路8-1號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,旭石田社區工場,基隆市仁三路11-9號3樓
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,成功國小,基隆市獅球路6號
110年春季班 ( 含寒假班 ),基隆市,基隆市基隆社區大學,信義國小,基隆市仁二路135號
110年春季班 ( 含寒假班 ),新北市,新北市永和社區大學,校本部,新北市永和區永利路71號
110年春季班 ( 含寒假班 ),新北市,新北市板橋社區大學,校本部,新北市板橋區成都街30號
110年春季班 ( 含寒假班 ),新北市,新北市板橋社區大學,瑞芳社區大學,新北市瑞芳區中山路2號
110年春季班 ( 含寒假班 ),新北市,新北市蘆荻社區大學,校本部,新北市蘆洲區民族路7號(鷺江國小四維樓)
110年春季班 ( 含寒假班 ),新北市,新北市新莊社區大學,校本部,新北市新莊區中平路135號 ( 新莊高中圖書館1樓)
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,校本部,新北市林口區仁愛路二段173號
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,五股市民活動中心,新北市五股區工商路127號
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,林口國小,新北市林口區林口路76號
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,仁愛活動中心,新北市林口區文化一路一段137號
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,南勢活動中心,新北市林口區南勢二街154號
110年春季班 ( 含寒假班 ),新北市,新北市林口社區大學,東勢活動中心,新北市林口區麗園一街35號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,校本部,新北市新店區三民路19號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,石碇學習點,新北市石碇區靜安路一段245號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,坪林學習點,新北市坪林區坪林街101號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,深坑學習點,深坑區北深路一段83巷8弄36號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,烏來學習點,新北市烏來區新烏路五段111號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,新店教學點--中華聖母堂,新北市新店區中正路367號
110年春季班 ( 含寒假班 ),新北市,新北市新店崇光社區大學,新店教學點-博蒂高爾夫球場,新北市新店區中興路三段1號
110年春季班 ( 含寒假班 ),新北市,新北市淡水社區大學,校本部,新北市淡水區鼻頭街22號
110年春季班 ( 含寒假班 ),新北市,新北市中和社區大學,校本部,新北市中和區興南路二段3巷17號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,校本部,新北市樹林區育英街176號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,區務教室,樹林區文化街112巷2號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,桃子腳國中小,新北市樹林區學勤路555號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,北園活動中心,新北市樹林區佳園路3段15號2樓
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,潭底教學農地,238新北市樹林區保安街一段289巷3號對面
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,樹林高中,新北市樹林區中華路8號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,圳福活動中心,樹林區中正路21-1號2樓
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,樹西活動中心,樹林區復興路225巷2號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,彭福國小,新北市樹林區忠孝街30號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,樹林柑園活動中心,新北市樹林區佳園路三段128號
110年春季班 ( 含寒假班 ),新北市,新北市樹林社區大學,北園活動中心,新北市樹林區佳園路三段15號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,二重校區,新北市三重區忠孝路三段89號（地下一樓）
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,線上,各班老師所使用雲端系統
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,光榮校區,新北市三重區介壽路32號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,三重校區,新北市三重區三和路三段1號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,三和校區,新北市三重區三和路四段216號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,天台校區,新北市三重區重新路二段78號7樓
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,碧華校區,新北市三重區五華街160號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,正義校區,新北市三重區信義西街31號
110年春季班 ( 含寒假班 ),新北市,新北市三重社區大學,厚德校區,新北市三重區忠孝路一段70號
110年春季班 ( 含寒假班 ),新北市,新北市三鶯社區大學,校本部,新北市三峽區復興路238號
110年春季班 ( 含寒假班 ),新北市,新北市汐止社區大學,校本部,新北市汐止區大同路二段394號
110年春季班 ( 含寒假班 ),桃園市,桃園市新楊平社區大學,校本部,桃園市楊梅區新農街337號4F(楊明國中內)
110年春季班 ( 含寒假班 ),桃園市,桃園市新楊平社區大學,平鎮辦事處,平鎮區和平路190號
110年春季班 ( 含寒假班 ),桃園市,桃園市桃園社區大學,校本部,桃園市桃園區經國路276號
110年春季班 ( 含寒假班 ),桃園市,桃園市中壢社區大學,校本部,桃園市中壢區中正路487巷18號
110年春季班 ( 含寒假班 ),桃園市,桃園市八德社區大學,校本部,桃園市八德區忠勇街12號
110年春季班 ( 含寒假班 ),桃園市,桃園市蘆山園社區大學,校本部,桃園市龜山區頂興路2號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹東社區大學,校本部,新竹縣竹東鎮自強路169號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,校本部,新竹縣竹北市中正西路154號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,博愛國中,新竹縣竹北市縣政十三路81號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,新豐國中,新竹縣新豐鄉重興村成德街36號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,湖口鄉中興國小,新竹縣湖口鄉吉祥街43號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,勝利一般教室,新竹縣竹北市勝利十一路139號3樓
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,木木咖啡,新竹縣竹北市莊敬北路423號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,新社國小,新竹縣竹北市新社里40號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,博愛國小,新竹縣竹北市光明六路72號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,新竹縣體育場-第二運動場(教室),新竹縣竹北市十興里27鄰莊敬一路2號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,閑坐咖啡,新竹縣竹北市嘉政七街100號
110年春季班 ( 含寒假班 ),新竹縣,新竹縣竹北社區大學,六家國小,新竹縣竹北市復興五街62號
110年春季班 ( 含寒假班 ),新竹市,新竹市竹塹社區大學,校本部,新竹市民族路33號
110年春季班 ( 含寒假班 ),新竹市,新竹市科學城社區大學,校本部,新竹市光復路一段512號
110年春季班 ( 含寒假班 ),新竹市,新竹市竹松社區大學,校本部,新竹市東區南大路521號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣社區大學,校本部,苗栗市至公路251號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣社區大學,國立竹南高中,苗栗縣竹南鎮中正路98號(警衛室2樓)
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣社區大學,國立苑裡高中,苗栗縣苑裡鎮育才街100號(國立苑高活動中心)
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,校本部,苗栗市經國路二段485號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,三義行動教室,苗栗縣三義鄉雙潭村雙連潭110-7號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,三義行動教室,苗栗縣三義鄉雙湖村106號-2
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,通霄行動教室,苗栗縣通霄鎮通東里中正路8號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,苑裡行動教室,苗栗縣苑裡鎮房裡里南房2鄰14號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,造橋行動教室,苗栗縣造橋鄉造橋村14鄰1號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,頭屋行動教室,苗栗縣頭屋鄉獅潭村1鄰7-6號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,銅鑼行動教室,苗栗縣銅鑼鄉竹森村4鄰22-1號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,銅鑼行動教室,苗栗縣銅鑼鄉福興村中山路2-5號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,三灣行動教室,苗栗縣三灣鄉三灣村肚兜角13鄰22號3樓
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,頭份行動教室,苗栗縣頭份鎮東興路37巷17號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,西湖行動教室,苗栗縣西湖鄉二湖村2鄰土牛溝16-7號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,公館行動教室,苗栗縣公館鄉館中村宮前路101號
110年春季班 ( 含寒假班 ),苗栗縣,苗栗縣大明社區大學,竹南行動教室,苗栗縣竹南鎮中正路92號
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,校本部,台中市西屯區天保街60號
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,中工教室,臺中市西屯區中工三路199號2樓
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,鹿寮國中,臺中市沙鹿區光華路385號
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,沙鹿高工,臺中市沙鹿區台灣大道7段823號
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,重慶國小,臺中市西屯區重慶路358號
110年春季班 ( 含寒假班 ),臺中市,臺中市文山社區大學,中山國中,臺中市西屯區寧夏路179號
110年春季班 ( 含寒假班 ),臺中市,臺中市大屯社區大學,校本部,臺中市大里區國中路365號
110年春季班 ( 含寒假班 ),臺中市,臺中市大屯社區大學,分校,臺中市霧峰區中正路1222號
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,校本部,台中市北區北屯路10號5樓
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,陳平分部（陳平國小）,台中市北屯區崇德路三段568號
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,大德分部（大德國中）,台中市北屯區雷中街2-23號
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,文昌分部（文昌國小）,台中市北屯區昌平路一段91號
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,東山分部（東山高中）,台中市北屯區景賢六路200號
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,松竹分部（松竹國小）,"台中市北屯區昌平路二段12號,"
110年春季班 ( 含寒假班 ),臺中市,臺中市北屯社區大學,仁美分部（仁美國小）,台中市北屯區崇德路三段568號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,校本部,臺中市東勢區中泰街88號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-復興宮,台中市東勢區南平里本街南片巷100之1號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,石岡區-樹之王,台中市石岡區明德路105號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-蜻蜓谷,台中市東勢區東坑路西盛巷60號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-梨之鄉,臺中市423東勢區東崎街四段242號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,石岡區-鵲慈中醫,台中市石岡區石岡街1號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-中山國小,台中市東勢區中泰街88號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-文昌廟,台中市東勢區文昌前街1號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-霞米的店,台中市東勢區第二橫街28號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,新社區-詠惠生技,臺中市新社區大南里興中街42－1號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-泰昌里活動中心,臺中市東勢區泰昌里名流街28巷2號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-中寧里活動中心,臺中市東勢區中寧里文化街115巷3號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-北興里活動中心,臺中市東勢區北興里文化街115巷7號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,新社區-新社高中,臺中市新社區復盛里中和街三段國中巷10號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,新社區-聯合里活動中心,台中市新社區復盛里興社街二段28-1號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,石岡區-石岡國小,台中市石岡區石岡街123號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-新盛國小,台中市東勢區新盛街342號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-東勢國中,台中市東勢區東崎路五段415號
110年春季班 ( 含寒假班 ),臺中市,臺中市山線社區大學,東勢區-東勢國小,臺中市東勢區廣興里第五橫街1號
110年春季班 ( 含寒假班 ),臺中市,臺中市海線社區大學,校本部,台中市梧棲區民生街12號
110年春季班 ( 含寒假班 ),臺中市,臺中市海線社區大學,弘光科技大學,台中市沙鹿區台灣大道六段1018號
110年春季班 ( 含寒假班 ),臺中市,臺中市五權社區大學,校本部,臺中市西區五權路2-3號4F
110年春季班 ( 含寒假班 ),臺中市,臺中市後驛社區大學,校本部,臺中市東區台中路283號
110年春季班 ( 含寒假班 ),臺中市,臺中市南湖社區大學,校本部,台中市南屯區嶺東路1號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,校本部,台中市大甲區甲東路512號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,順天分部,臺中市大甲區大安港路67號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,五里聯合活動中心1樓,大甲區德興路65號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,義和、新美里活動中心1樓,大甲區義和里中山路一段484巷45號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,大甲國小,大甲區育德路233號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,太白社區活動中心,大甲區通天路110-2號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,順天里活動中心,大甲區順天路146號3樓
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,嘟嘟道場,大甲區經國路95巷13號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,Apple Yoga,大甲區大安港路53巷3號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,舊文武里活動中心2樓,大甲區德興路61號
110年春季班 ( 含寒假班 ),臺中市,臺中市甲安埔社區大學,大甲區農會3樓會議室,大甲區文武路10號
110年春季班 ( 含寒假班 ),臺中市,臺中市后豐社區大學,校本部,臺中市豐原區豐東路75號
110年春季班 ( 含寒假班 ),臺中市,臺中市潭雅神社區大學,校本部,臺中市潭子區中山路二段31號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣二林社區大學,校本部,彰化縣二林鎮豐田里斗苑路四段500號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣湖埔社區大學,校本部,彰化縣溪湖鎮太平里文二街14號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣湖埔社區大學,埔鹽分校,彰化縣埔鹽鄉彰水路一段74號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣湖埔社區大學,埔心分校,彰化縣埔心鄉員鹿路二段194號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣鹿秀社區大學,校本部,彰化縣鹿港鎮龍舟路22號3樓
110年春季班 ( 含寒假班 ),彰化縣,彰化縣鹿秀社區大學,秀水分校,彰化縣秀水鄉中山路257號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣彰化社區大學,校本部,彰化市福山街348號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣彰化社區大學,民族路行動教室,彰化市民族路209號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,校本部,彰化縣和美鎮西園路31號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,伸港鄉泉厝社區,彰化縣伸港鄉泉厝路44之3號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,泉州社區活動中心,伸港鄉泉州村仁愛路123號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,曾家社區活動中心,伸港鄉曾家村曾家路72號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,線西鄉老人會 ,彰化縣線西鄉中央路二段15號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,線西頂犁社區活動中心,彰化縣線西鄉頂犁路48號1號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,線西鄉頂犁社區,彰化縣線西鄉頂犁村頂犁路48-1號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,線西鄉農會,彰化縣線西鄉中央路二段20號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,線西鄉線西社區,彰化縣線西鄉中央路二段536巷31號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美鎮中圍社區,彰化縣和美鎮竹社路123號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美鎮中寮大庄社區,彰化縣和美鎮桂東路159巷18號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美鎮林庚壬議員服務處,彰化縣和美鎮信義路241號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美鎮源埤社區,彰化縣和美鎮南安路105號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,國立和美實驗學校,彰化縣和美鎮鹿和路六段115號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美鎮新庄社區活動中心 ,彰化縣和美鎮東發路100巷30號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美雅溝社區活動中心,彰化縣和美鎮雅溝里南軒路359巷7號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美詔安社區活動中心,彰化縣和美鎮彰和路2段176號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣美港西社區大學,和美竹營社區活動中心,彰化縣和美鎮和頭路237號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣員永村社區大學,校本部,彰化縣員林市員水路二段313號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣員永村社區大學,彰化縣育英國民小學,彰化縣員林市光明街31號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣員永村社區大學,大橋社區活動中心,彰化縣大村鄉中山路三段193巷69號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣員永村社區大學,彰化縣永靖國民小學,彰化縣永靖鄉中山路二段65號
110年春季班 ( 含寒假班 ),彰化縣,彰化縣二社田社區大學,校本部,彰化縣田中鎮中州路一段177號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,校本部,南投縣南投市復興路669號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,聖三一堂教育大樓,南投縣南投市虎山路104號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,中寮分校,54155南投縣中寮鄉永平村永平路316號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,名間分校,551南投縣名間鄉彰南路220號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,草屯分校,542南投縣草屯鎮玉屏路210號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,古韻箏樂團,南投縣草屯鎮虎山路306號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,南投縣中寮鄉義和社區發展協會,541南投縣中寮鄉永平路447之12號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,力揚乒乓球運動館,540南投縣南投市振興巷109號
110年春季班 ( 含寒假班 ),南投縣,南投縣貓羅溪社區大學,吳秋植物染工作坊,541南投縣中寮鄉永平路85-3號
110年春季班 ( 含寒假班 ),南投縣,南投縣水沙連社區大學,校本部,南投縣埔里鎮大城里大城路169號
110年春季班 ( 含寒假班 ),南投縣,南投縣水沙連社區大學,南投縣水沙連社區大學國姓分校,南投縣國姓鄉石門村國姓路237號
110年春季班 ( 含寒假班 ),南投縣,南投縣水沙連社區大學,南投縣水沙連社區大學魚池分校,南投縣魚池鄉瓊文巷41號
110年春季班 ( 含寒假班 ),南投縣,南投縣濁水溪社區大學,校本部,南投縣竹山鎮自強路100號
110年春季班 ( 含寒假班 ),南投縣,南投縣濁水溪社區大學,鹿谷分校,南投縣鹿谷鄉中正路2段174號
110年春季班 ( 含寒假班 ),南投縣,南投縣濁水溪社區大學,水里分校,南投縣水里鄉民生路68號
110年春季班 ( 含寒假班 ),南投縣,南投縣濁水溪社區大學,集集分校,南投縣集集鎮東昌巷4號
